"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)"
"_TranslationBy","Translation provided by:","Traducción proporcionada por: ","Übersetzung bereitgestellt von","翻訳を提供しました","번역 제공:","翻译由"
"_TranslatorName","Your Name","Yami","Thryrallo / DrBlackRat","Tony_Lewis","Korea_Yujin","momo"
"_TranslatorContact","Your Discord","@yamikadesu","@thryrallo / @drblackrat","@tony_lewis","@korea_yujin","@xmaomao"
"_ForgotToLockMaterial",";;YOU_FORGOT_TO_LOCK_THIS_MATERIAL;",";;OLIVIDASTE BLOQUEAR ESTE MATERIAL;",";;DU HAST VERGESSEN DIESES MATERIAL ZU SPERREN;",";;マテリアルのロックをお忘れです;",";;마테리얼을 잠그는 것을 잊으셨습니다;","材质未锁定"
"_LockTooltip","Animations don't work by default when locked in. Right click a property if you want to animate it. The shader will lock in automatically at upload time.","Las animaciones no funcionan por defecto cuando están bloqueadas. Haga clic derecho en una propiedad si desea animarla. El sombreador se bloqueará automáticamente en el tiempo de carga.","Animationen funktionieren standardmäßig nicht, wenn das Material gesperrt ist. Klicke mit der rechten Maustaste auf eine Eigenschaft, und aktivieren ""Animieren"" damit diese auch im gesperrten Zustand animiert werden kann.","","애니메이션은 기본적으로 잠겨 있으면 작동하지 않습니다. 잠겨 있는 경우 속성을 마우스 오른쪽 버튼으로 클릭하십시오","默认情况下，锁定时动画不生效。如果要对属性进行动画处理，请右键单击该属性。着色器将在上传时自动锁定。"
"GeometryShader_Enabled","GEOMETRY SHADER ENABLED","SOMBREADOR DE GEOMETRÍA ACTIVADO","GEOMETRIE-SHADER AKTIVIERT","ジオメトリ シェーダが有効","지오메트리 셰이더 활성화됨","几何着色器已启用"
"Tessellation_Enabled","TESSELLATION ENABLED","TESELADO ACTIVADO","TESSELLIERUNG AKTIVIERT","テッセレーション有効","테셀레이션 활성화됨","曲面细分已启用"
"_Mode","Rendering Preset","Ajuste predeterminado de renderizado","Rendering-Voreinstellung","レンダリング プリセット","렌더링 프리셋","渲染预设"
"m_mainCategory","Color & Normals","Color y normales","Farbe & Normalen","色とノーマル (法線)","색상 & 노멀","颜色 & 法线"
"_Color","Color & Alpha","Color y alfa","Farbe & Alpha","カラー＆アルファ","색상 & 알파","颜色 & Alpha"
"_MainTex","Texture","Textura principal","Textur","テクスチャ","텍스처","主色"
"_MainTexUV","UV","UV","UV","UV","UV","UV"
"_MainTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_MainPixelMode","Pixel Mode","Modo píxel","Pixelmodus","ピクセル モード","픽셀 모드","像素模式"
"_MainTexStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样 (Stochastic)"
"_BumpMap","Normal Map","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀 맵","法线贴图"
"_BumpMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_BumpMapUV","UV","UV","UV","UV","UV","UV"
"_BumpScale","Intensity","Intensidad","Intensität","輝度調整","강도","强度"
"_BumpMapStochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样 (Stochastic)"
"_ClippingMask","Clipping Mask","Máscara de recorte (Canal alfa)","Alpha-Textur","アルファマップ","알파 맵","剪裁遮罩 (Alpha通道)"
"_ClippingMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_ClippingMaskUV","UV","UV","UV","UV","UV","UV"
"_Inverse_Clipping","Inverse Clipping","Invertir recorte","Umkehren","反転","반전","反转剪裁"
"_Cutoff","Alpha Cutoff","Umbral alfa","Alpha-Cutoff","アルファ カットオフ","알파 컷오프","Alpha 阈值 (Cutoff)"
"m_start_MainHueShift","Color Adjust","Cambio de tono","Farbanpassung","ぼかし調整","색조 조정","色相调整"
"_MainColorAdjustToggle","Adjust Colors","Ajustar colores","Farben anpassen","色を調整する","색상 조정","调整颜色"
"_MainColorAdjustTexture","Mask (Expand)","Máscara de ajuste (Expandir)","Maske (Erweitern)","マスク（拡大）","마스크 (확장)","调整遮罩 (展开)"
"_MainColorAdjustTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移"
"_MainColorAdjustTextureUV","UV","UV","UV","UV","UV","UV"
"_Saturation","Saturation","Saturación","Sättigung","彩度","채도","饱和度"
"_MainChromatize","Chromatize","Cromatizar","Chromatisieren","クロマタイズ","크로마타이즈","色度化"
"_MainTintColor","Tint","Tinte","Tönung","ティント","틴트","着色"
"_MainBrightness","Brightness","Brillo","Helligkeit","明るさ","밝기","亮度"
"_MainHueShiftToggle","<size=13><b>  Hue Shift</b></size>","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移 (Hue Shift)</b></size>"
"_MainHueShiftReplace","Hue Replace?","¿Reemplazo de tono?","Farbton ersetzen?","ぼかし置換","색조 교체","替换色相?"
"_MainHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移"
"_MainHueShiftSpeed","Hue Shift Speed","Velocidad del cambio","Farbtonverschiebungsgeschwindigkeit","ぼかしシフト速度","색조 시프트 속도","色相偏移速度"
"_MainHueALCTEnabled","Hue Shift Audio Link","<size=13><b>Cambio de tono del AudioLink </b></size>","<size=13><b>Hue Shift Audio Link</b></size>","<size=13><b> ぼかしシフト・オーディオリンク</b></size>","<size=13><b>색조 시프트 오디오 링크</b></size>","<size=13><b>色相偏移 AudioLink</b></size>"
"_MainALHueShiftBand","Band","Banda","Band","バンド","밴드","频段"
